dataset,seed,condition,mse,mae,delta_mse_true_minus_condition,delta_mae_true_minus_condition
cropped_validation,20260661,true Big-Five,0.096671004,0.204722840,0.000000000,0.000000000
cropped_validation,20260661,zero Big-Five,0.097997340,0.206245979,-0.001326336,-0.001523139
cropped_validation,20260661,shuffled Big-Five,0.099287224,0.208332543,-0.002616220,-0.003609703
cropped_validation,20260661,no-condition identity,0.098322093,0.208379308,-0.001651089,-0.003656468
cropped_validation,20260662,true Big-Five,0.097007942,0.206911860,0.000000000,0.000000000
cropped_validation,20260662,zero Big-Five,0.097438785,0.206555020,-0.000430842,0.000356840
cropped_validation,20260662,shuffled Big-Five,0.098534995,0.206371497,-0.001527052,0.000540363
cropped_validation,20260662,no-condition identity,0.097786689,0.205066899,-0.000778747,0.001844962
cropped_validation,20260663,true Big-Five,0.096323324,0.206513961,0.000000000,0.000000000
cropped_validation,20260663,zero Big-Five,0.098064764,0.212759868,-0.001741440,-0.006245906
cropped_validation,20260663,shuffled Big-Five,0.099158077,0.213819382,-0.002834753,-0.007305421
cropped_validation,20260663,no-condition identity,0.098217887,0.212920234,-0.001894562,-0.006406273
cropped_validation,20260664,true Big-Five,0.097362604,0.205072256,0.000000000,0.000000000
cropped_validation,20260664,zero Big-Five,0.097987724,0.205618890,-0.000625120,-0.000546634
cropped_validation,20260664,shuffled Big-Five,0.099677608,0.207065034,-0.002315005,-0.001992778
cropped_validation,20260664,no-condition identity,0.098294743,0.205677914,-0.000932139,-0.000605658
cropped_validation,20260665,true Big-Five,0.097974380,0.203949355,0.000000000,0.000000000
cropped_validation,20260665,zero Big-Five,0.098413816,0.213425382,-0.000439437,-0.009476027
cropped_validation,20260665,shuffled Big-Five,0.099020994,0.206089005,-0.001046615,-0.002139650
cropped_validation,20260665,no-condition identity,0.098663539,0.216092896,-0.000689160,-0.012143541
full_validation_export,20260661,true Big-Five,0.101214864,0.207956270,0.000000000,0.000000000
full_validation_export,20260661,zero Big-Five,0.102886974,0.209152868,-0.001672111,-0.001196598
full_validation_export,20260661,shuffled Big-Five,0.103966451,0.211328717,-0.002751587,-0.003372446
full_validation_export,20260661,no-condition identity,0.102801270,0.210443354,-0.001586407,-0.002487084
full_validation_export,20260662,true Big-Five,0.102567981,0.213869875,0.000000000,0.000000000
full_validation_export,20260662,zero Big-Five,0.102231435,0.211818350,0.000336546,0.002051525
full_validation_export,20260662,shuffled Big-Five,0.103879995,0.211037557,-0.001312014,0.002832318
full_validation_export,20260662,no-condition identity,0.102886162,0.209375301,-0.000318182,0.004494573
full_validation_export,20260663,true Big-Five,0.101438280,0.208895626,0.000000000,0.000000000
full_validation_export,20260663,zero Big-Five,0.101484848,0.213306502,-0.000046568,-0.004410875
full_validation_export,20260663,shuffled Big-Five,0.102310227,0.214344452,-0.000871947,-0.005448826
full_validation_export,20260663,no-condition identity,0.102446366,0.213032330,-0.001008087,-0.004136704
full_validation_export,20260664,true Big-Five,0.102284292,0.210458418,0.000000000,0.000000000
full_validation_export,20260664,zero Big-Five,0.103915064,0.211729618,-0.001630772,-0.001271200
full_validation_export,20260664,shuffled Big-Five,0.105620102,0.213394117,-0.003335810,-0.002935698
full_validation_export,20260664,no-condition identity,0.104885328,0.212275098,-0.002601036,-0.001816680
full_validation_export,20260665,true Big-Five,0.102984124,0.206038644,0.000000000,0.000000000
full_validation_export,20260665,zero Big-Five,0.103233259,0.217695760,-0.000249135,-0.011657117
full_validation_export,20260665,shuffled Big-Five,0.104853826,0.209144927,-0.001869702,-0.003106283
full_validation_export,20260665,no-condition identity,0.103226378,0.221006329,-0.000242254,-0.014967686
